Svevo Valerius Ale;Bari, Italy;Altbier / Sticke Alt;Birrificio Svevo;"Draught at ""Salone della Birra Artigianale 2007"" - Milan. Slightly dark yellow color light and fine fizz. Light and homogenous head of short resistance. Fresh and flowery scent with herbaceous and spiced notes which anise and dried malt. Typical taste, bitterish and slightly smooths down. Modest final body with pleasant alcoholic content."
Balans Bräu Beyaz (Weissbier / White);Istanbul, Turkey;Weissbier - Hefeweizen;Balans Bräu;Draught at the brewpub: cloudy yellow like a german hefeweissen. Light wheat taste, and slightly heavier lemon taste. Very refreshing and drinkable. So far this is by far the best beer I have had in Istanbul.
Balans Bräu Beyaz (Weissbier / White);Istanbul, Turkey;Weissbier - Hefeweizen;Balans Bräu;Draught at the brewpub. Cloudy yellow, minimal head.Some light banana up front, then malt sweetness battle with citric acid. Light bodied. Refreshing, but way too lemony.
Balans Bräu Beyaz (Weissbier / White);Istanbul, Turkey;Weissbier - Hefeweizen;Balans Bräu;"Draught at the brewery in Istanbul Muddy blond color. Aroma of wheat, banana. Good body strength, malt flavor, wheat character, sweetness, banana fruitness, drier at the end, spicy; good bitterness for a Weissbier. Well brewed."
Balans Bräu Special (Pilsener);Istanbul, Turkey;Pilsener / Pils / Pilsner;Balans Bräu;Draugha at the brewpub as Pilsener. Yellow/pale golden coloured, small white head that went away slowly, light malty nose. Grainy, light bready and watery with pretty strong stale acidic finish and aftertaste. 4€ for nothing.
Balans Bräu Special (Pilsener);Istanbul, Turkey;Pilsener / Pils / Pilsner;Balans Bräu;Gold / yellow pour. Mild hop and mild bread aroma. Mild hop and mild bread taste. Not much going on.
Balans Bräu Special (Pilsener);Istanbul, Turkey;Pilsener / Pils / Pilsner;Balans Bräu;Draft. A dark golden beer with a white head. The aroma has notes of malt and lighter notes of Bamberg smoke. The flavor is sweet with strong notes of smoke - which comes as a bit surprise to me, when it was listed as a Pilsener on the board, but it also has malty notes, leading to a dry smokey finish. A good thirstquencher. I asked the bartender and he told me they did use smoked malt for this beer.
Balans Bräu Special (Pilsener);Istanbul, Turkey;Pilsener / Pils / Pilsner;Balans Bräu;Draught at the brewpub. Clear golden colour, sparkling. Small stable white head. Fizzy mouthfeel and mildly grainy flavour. Very bland. Does not taste microbrewed at all, more like macro swill.
Balans Bräu Special (Pilsener);Istanbul, Turkey;Pilsener / Pils / Pilsner;Balans Bräu;White foamy head, clear yellow body, faint citrus aroma, hoppy smooth finish. A very standard and boring beer
Balans Bräu Special (Pilsener);Istanbul, Turkey;Pilsener / Pils / Pilsner;Balans Bräu;Draft @ brewpub. Hazy yellow-gold with nice white head. Decent head retention. Sour aroma is not all bad, just fruit tang. Low carbonation, is nearly flat. Lots of fruity flavors, esp citrus. Drinks easily enough for not being a very good beer.
Balans Bräu Special (Pilsener);Istanbul, Turkey;Pilsener / Pils / Pilsner;Balans Bräu;Hazy straw colour. Footy-funky aroma. Relatively flat. Light straw taste, probably too much acidity. Goes down easy, though.
Balans Bräu Special (Pilsener);Istanbul, Turkey;Pilsener / Pils / Pilsner;Balans Bräu;"On tap at the brewpub in Istanbul. Pours a hazy, glowing golden yellow color with a small, foamy white head. The foam is quickly fleeting, and soapy lacing mostly rejoins the body. The nose is heavy on bready yeast, with a pungent, sourdough type note. Floral hops are weak to hardly distinguishable, with just a hint of a spice note. Flavors follow suit, with pungent grains and yeast balanced by faint floral hops. Moderate in both body and carbonation. This beer doesn’t leave much of an impression on me, it’s just kind of ""blah""."
Balans Bräu Special (Pilsener);Istanbul, Turkey;Pilsener / Pils / Pilsner;Balans Bräu;Draught at the brewpub. Hazy yellow, small head. Medium bodied with rounded, spritzy mouthfeel. Grainy with very light spicy hops. Quite mellow with low bitterness. A quite messy beer without much pilsener characteristics.
Balans Bräu Special (Pilsener);Istanbul, Turkey;Pilsener / Pils / Pilsner;Balans Bräu;[i] 50cl glass from the Balans Brau brewery tap 21-01-07 taken from travel diary notes [/i] I added this brewpub to places on the 24th January and I’m pleased to see that its had a couple more visitors since and that the beers that I had have been added. These were my last two beers of the night and of my time in Turkey my notes read ’soft, easy drinking, cloudy yellow unfiltered beer’ (amusingly for both beers)The reason I didn’t rate this at the time was I was unsure whether the beers I had were one and the same (see notes on place) and I had to write the type of the beer down in Turkish I had written Special and Kristal for each one as thats what I was told they were, but hoped that someone else in a less wobbly state could add them better than I did.
Balans Bräu Karamel (Caramel);Istanbul, Turkey;Dark Lager - Dunkel / Tmavý;Balans Bräu;Caramel, caramel, caramel, caramel, caramel, caramel, caramel, caramel, caramel, caramel, caramel, caramel, caramel, caramel, caramel
Balans Bräu Karamel (Caramel);Istanbul, Turkey;Dark Lager - Dunkel / Tmavý;Balans Bräu;Very slight caramel aroma, clear amber brown color, tan frothy head, slightly sweet, medium body, medium long finish. Definitely better than their Pilsner.
Balans Bräu Karamel (Caramel);Istanbul, Turkey;Dark Lager - Dunkel / Tmavý;Balans Bräu;Draft @ brewpub. Dark amber/reddish brown. Nice head. Nice tan head and lacing. Aroma has some nice dark malts. Is dry, husky with distinct caramel notes on top of it all. Smells like malt candy. Low carbonation. Smooth. Bready flavors. Has some sourdough tang but is also sweet. Smooth and drinkable. The only one of the bunch that I actually enjoyed drinking and would again if in the area.
Balans Bräu Karamel (Caramel);Istanbul, Turkey;Dark Lager - Dunkel / Tmavý;Balans Bräu;Golden-brown colour. Chocolate and toasty aroma. Light, toasty character with a fairly dry finish. Light body but otherwise an ok dunkel.
Balans Bräu Karamel (Caramel);Istanbul, Turkey;Dark Lager - Dunkel / Tmavý;Balans Bräu;This beer is the worst of all beers in blans brau. Well very sweet but swetness makes your mouthfeel awful for some later. Dark brown and sweety finish. Well i actually don’t like when i do not feel malt and hops this is one of these kind.
Balans Bräu Karamel (Caramel);Istanbul, Turkey;Dark Lager - Dunkel / Tmavý;Balans Bräu;Draught at the brewery in Istanbul Hazy dark brown color. Some malt aroma. Caramel taste, soft, sweet, not enough bitter.
Jan Halada Medovina Orechová;Rakovník, Czech Republic;Mead;Ceská vCEla;"served warm in a plastic cup, pilsen square markets. dark brown with slight reddish tinge; aroma of icing sugar and marzipan; very sweet but mellow with hints of baklava. pretty good"
Jan Halada Medovina Orechová;Rakovník, Czech Republic;Mead;Ceská vCEla;Bottle @Theis - bottle from Pivni Galerie. Dark brown coloured with no head. Dark burnt syrup, honey, berries - kinda sweet and dry with sherry notes.
Jan Halada Medovina Orechová;Rakovník, Czech Republic;Mead;Ceská vCEla;Pours brown with no head. Sweet with aromas of red berries and port and cherries. Deep sweetness of raisins. Alcohol with a hint of dryness in the finish. Thanks Theis + Mette.
Jan Halada Medovina Orechová;Rakovník, Czech Republic;Mead;Ceská vCEla;theis’ bottle (bought at Pivni Galerie) tasted at his home. dark color. kinda like sirup texture. sweet and xmassy. quite pleasant.
Jan Halada Medovina Orechová;Rakovník, Czech Republic;Mead;Ceská vCEla;Bottle (bought at Pivni Galerie) tasted at home. Dark red/brown - no head. Dark fruits, raisins, licorice, dark bread, chokolate, sweetness, honey, syrup, light light alcoholic, light superclue aroma, smooth. Very nice !!
Deinze Export;Deinze-Gottem, Belgium;Pilsener / Pils / Pilsner;Huisbrouwerij Sint Canarus;Bottle at yespr. Clear yellow coloured with a medium sized white head. Malty aroma of hops and solvents. Malty flavour of hops, grass and solvents. Hoppy finish.
Deinze Export;Deinze-Gottem, Belgium;Pilsener / Pils / Pilsner;Huisbrouwerij Sint Canarus;clear yellow ,smooth white head. malty and strong caramelly aroma. flavor is caramelly, malty, prettty lousy pils, but drinkable belgian caramelly brew.
Deinze Export;Deinze-Gottem, Belgium;Pilsener / Pils / Pilsner;Huisbrouwerij Sint Canarus;Bottled. A golden beer with an off-white head. The aroma has notes of fruits and malt. The flavor is sweet with notes of over ripe straw and malt, leading to a dry finish. Thanks yespr for sharing.
Deinze Export;Deinze-Gottem, Belgium;Pilsener / Pils / Pilsner;Huisbrouwerij Sint Canarus;Bottle @ yespr tasting. Medium head with medium duration. Color is golden. Aroma and taste are sweet malt, bread, notes of yeast and hops. Medium body and soft carbonation.
Deinze Export;Deinze-Gottem, Belgium;Pilsener / Pils / Pilsner;Huisbrouwerij Sint Canarus;33 cL bottle. Pours clear and golden yellow with a small white head. Aroma is mild fruity, light citric. Mild cornish. Bitter, light grassy and vague metallic. Ends dry and light malty.
Deinze Export;Deinze-Gottem, Belgium;Pilsener / Pils / Pilsner;Huisbrouwerij Sint Canarus;Bottle 33 cl. Courtesy of yespr. Pours golden with a lacing off-white head. Malty nose with a skunky edge. Medium body, old stale maltiness, distinctly fusty. Subtle bitterness. 230212
Deinze Export;Deinze-Gottem, Belgium;Pilsener / Pils / Pilsner;Huisbrouwerij Sint Canarus;23/I/2012 33cl bottle from Sint Canarus @ home - BB: 15/III/12 (2012-72) Dark blond beer, big frothy white head, very stable, adhesive. Aroma: quote some canabis upon opening, bit of citrus, fresh cut grass, bit metallic. MF: good carbon, light to medium body. Taste: nice bitter start, some citrus, bit grassy, more bitterness. Aftertaste: good bitter crisp ending, bit of metal afterwards.
Deinze Export;Deinze-Gottem, Belgium;Pilsener / Pils / Pilsner;Huisbrouwerij Sint Canarus;Bottle 33cl. @ home. Clear sparkling light to medium yellow orange color with a average to large, frothy, good lacing, mostly lasting, white to off-white head. Aroma is moderate malty, grain, toasted, fruit acidic, corn notes. Flavor is moderate sweet, light light acidic and light bitter with a average to long duration. Fresh. Body is light to medium, texture is watery, carbonation is soft. Very much like a german micro pilsener. [20090315]
Deinze Export;Deinze-Gottem, Belgium;Pilsener / Pils / Pilsner;Huisbrouwerij Sint Canarus;33cl, exclusive brew, from De Bierloods Adegem, not complex brew, yet refreshing, balanced, clear, rocky head, simpel brew
Deinze Export;Deinze-Gottem, Belgium;Pilsener / Pils / Pilsner;Huisbrouwerij Sint Canarus;(Bottled) Slightly hazy yellow-golden with a small, frothy and lacy head. Herby-honeyish hops and buttery, pale malt in the aroma. Pale-alty, slightly cardboardy flavor with hints of buttery diacetyl and herby hops. Medium body with pretty soft carbonation. Quite surprising to see this kind of beer from Sint Canarus. This one didn’t have a BBE date, but calculating from the amount of dust in the bottle, it wasn’t the freshest sample. Drinkable, but not something you’d want to have while in Belgium.
Weyerbacher Muse;Easton, Pennsylvania, United States;Saison / Farmhouse / Grisette;Weyerbacher Brewing Co.;This is a backlog rating from 2009 from a bottle, from notes. When I had this beer it was average to below average for the style and not something I wanted to have again or I just didn't get back to my notes because of my technology at the time. Words to describe this beer are bready, grains, citrus, mild funk, light yeast, one of my least favorite from them.
Weyerbacher Muse;Easton, Pennsylvania, United States;Saison / Farmhouse / Grisette;Weyerbacher Brewing Co.;old rating from a notebook i found. orange yellow turbid body that is extremely carbed up. light citrus nose that is just a touch dirty in a good way. very light drinkable flavor. quenching orange zest like notes mix well with the malt. enjoyable and would be better on a summer day
Weyerbacher Muse;Easton, Pennsylvania, United States;Saison / Farmhouse / Grisette;Weyerbacher Brewing Co.;6/4/12. 22oz bomber that has some age. Clear golden pour with a small khaki head. Minty and papery oxidation in the aroma with touches of spice and a hint of honey and sugars. Slightly sweet malty flavor with bits of spice and sugars. Not terrible.
Weyerbacher Muse;Easton, Pennsylvania, United States;Saison / Farmhouse / Grisette;Weyerbacher Brewing Co.;Bottle @ chriso. Pours a slightly hazy orange color with a small off-white head. Has a fruity malty spicy yeasty aroma. Sweetish malty fruity bitter yeasty flavor. Has a fruity malty spicy yeasty finish.
Weyerbacher Muse;Easton, Pennsylvania, United States;Saison / Farmhouse / Grisette;Weyerbacher Brewing Co.;Bottle at Chriso’s Fullers-Gales tasting, thanks to Leighton. It pours cloudy orange-amber, with a thick beige head. The nose is sweet orangey fruit - apricot, mango and ripe orange, as well as gingerbread. The taste is sweet orange, mango, apricot, grapefruit, metal, hay, straw and dough. Light-medium body and moderate carbonation. Too thin and a bit too much sweetness. Balance is not great either...
Weyerbacher Muse;Easton, Pennsylvania, United States;Saison / Farmhouse / Grisette;Weyerbacher Brewing Co.;Bottle at chriso Vintage Tasting. Pours cloudy gold with a foamy head. Odd nose, some sweet bready malts. Light to medium sweet flavor, some bread and light caramel, faint tang. Medium in body with fine to average carbonation. Sweet and bready finish, with some age on the malts. Pretty weak overall.
Weyerbacher Muse;Easton, Pennsylvania, United States;Saison / Farmhouse / Grisette;Weyerbacher Brewing Co.;Bottle at Chriso FullersGales tasting. Cloudy dirty brown colour white head. Lots of hop. Not a good beer. Mess of styles. Its terrible
Weyerbacher Muse;Easton, Pennsylvania, United States;Saison / Farmhouse / Grisette;Weyerbacher Brewing Co.;A: Dark orange body, with a minimal head that all but disappears within a few moments. No lacing. S: Candy orange. Caramel. No Spice. No Funk. No BelgianYeast notes. T: More of the same. Out of style. But not bad tasting. M: Smooth. Light to medium body. Good carbonation levels. Lacking any crispness or bite to the finish. O: Ehh. I’ll pass on this most likely.
Weyerbacher Muse;Easton, Pennsylvania, United States;Saison / Farmhouse / Grisette;Weyerbacher Brewing Co.;Cloudy amber/ orange pour with thin white head. A musty yeasty smell common in saison. A moderate belgian spice and bread flavor that starts out sweet , but finishes bitter. A hint of toasted malts and wheat. Interesting.
Weyerbacher Muse;Easton, Pennsylvania, United States;Saison / Farmhouse / Grisette;Weyerbacher Brewing Co.;murky, thin white head. Lightly wheat, dusty nose, fair amount of fruit. Sugary flavor, bit of pear and green grape skin, lightly yeasty, bit of bubblegum, astringent papery finish. Thin, lightly hit and dry, and relatively low alcohol for Weyerbacher.
Hopfenstark Framboise;Lavaltrie, Quebec, Canada;Flavored - Fruit;Hopfenstark;Où, Quand, Comment : Dégustée en fût au Vices & Versa à Montréal (printemps 2007). Visuel : Couleur : dorée. Apparence : voilée. Arôme : Fruitée légèrement sûre (framboises, notes d’agrumes), léger de céréales, notes de houblon herbeux. Goût : Entrée de bouche : Goût fruité très légèrement sûr (framboises, notes d’agrumes) Un léger support de grains de malt pâle est également présent avec des notes de houblon herbeux et des traces de miel. En bouche : Corps : moyen. Effervescence : moyenne. Texture : légèrement crémeuse. Finale : moyenne et aux notes sèches, composée d’une faible aigreur fruitée avec de faibles notes amères de houblon herbeux.
Hopfenstark Framboise;Lavaltrie, Quebec, Canada;Flavored - Fruit;Hopfenstark;Draught at brewpub. Light body, fresh raspberry, wheat, grape, sour finish. Not the most rich raspberry brew in the region but a fine summer fruit beer.
Hopfenstark Framboise;Lavaltrie, Quebec, Canada;Flavored - Fruit;Hopfenstark;"""glad i got to try all 3 hopfenstark brews. if i’d only had one, this would have been it, and it was BY FAR the least impressive of the 3. not really working well as a sour or a fruit beer. the raspberry is understated, as is the sourness. it’s kinda like Fort without the abv and the body. not was i was hoping for. a bit muddled, but still decent, just not in comparison to their other brews or to others in this style."""
Hopfenstark Framboise;Lavaltrie, Quebec, Canada;Flavored - Fruit;Hopfenstark;750 ml bottle at Volo. Pours a hazy pinkish orange with white head (maybe a hint pf pink) and tiny floaties. Aroma is dry, tart raspberries, light sour tree fruit and wheat. Flavour is dry, tart raspberries, effervescent white wine character and wheat. Tart raspberries in finish. Lively carbonation. Quite refreshing and nice.
Hopfenstark Framboise;Lavaltrie, Quebec, Canada;Flavored - Fruit;Hopfenstark;Bottle at Barvolo. 5.5%. Pours a pale, golden/peach with a thin, white head. Aroma is a nice, semi-sweet raspberry. Taste is very slightly bitter/tart with smooth notes of raspberry. Medium body with a medium-high carbonation. Dry finish. Overall a really nice fruit beer. Smooth raspberry for sure.
Hopfenstark Framboise;Lavaltrie, Quebec, Canada;Flavored - Fruit;Hopfenstark;Elle est blonde-rosée et limpide ayant un mince voile à sa surface. Des arômes de papier mouillé et de framboises qui semblent trop mûres. En bouche, c’est acidulé et suret sur les bords. Des épices mêlées à une effervescence prononcée semblent brouiller les cartes. Par moment, une impression de blé courtise les papilles. Légère déception quand même.(860-181013)
Hopfenstark Framboise;Lavaltrie, Quebec, Canada;Flavored - Fruit;Hopfenstark;Plutôt pâle, couleur or blanc, elle laisse échapper des notes assez puissantes de framboises, tel que prévu. Douce en bouche malgré une petite pointe acidulée, elle n'envahit pas avec ses fruits, et si elle a un petit côté aqueux, elle emploie bien ce fait en étant désaltérante. Pas mal du tout pour uke fruitée, mais elle ne soulève pas les passions.
Hopfenstark Framboise;Lavaltrie, Quebec, Canada;Flavored - Fruit;Hopfenstark;750 ml bottle. Pours a pinkish whitish orange with a short lasting white head. Aroma is sugar, field berry, but mostly, raspberry. Flavor is raspberry, tropical fruits (pineapple, oranges), but generally feels like a regular witbier...Some tartness, unripe, wild fruit flavor, with a touch of herbal bitterness. Light body, watery mouthfeel, weak to medium carbonation. Okay, I guess.
Hopfenstark Framboise;Lavaltrie, Quebec, Canada;Flavored - Fruit;Hopfenstark;Light head. Notes of yeast and cereal medium fruitiness. Really nice light body. Solid summer beer.
Hopfenstark Framboise;Lavaltrie, Quebec, Canada;Flavored - Fruit;Hopfenstark;Part of the easter Hopfenstark cellar purge since im visiting quebec very soon. Blonde pour, pink hues. Decent carbonation despite sitting in the basement for a while. Sour raspberry in the aroma, barnyard funk, yeast. Lots of funk up front, hints of fresh raspberry, wheat, fairly tart. Refreshing, lighter body. Age did this one some favours. Very drinkable.
Three Rivers Raspberry Imperial Stout;Farmington, New Mexico, United States;Stout - Imperial;Three Rivers Eatery and Brewhouse;Draft: Penetrable black. Jagged, big-bubbled grayish foam quickly diminishes. Fairly attractive nose of cocoa-dusted raspberries, black licorice, dark chocolate, and raisins. Briskly prickly carbonic sting. Rounded fruit-derived acidity gently puckers the palate and is softened by moist hints of tobacco. Velvety chocolate and gritty char deepen the fruitiness. Pungently earthy roast stop just short of becoming grainy. Metallic zing of malt enhances the bright acidity of the fruit. Finishes bittersweet and softly chocolaty, yet slightly crunchy with char and black chocolate. A straightforward rendition but well-structured and surprisingly vibrantly fruity.
Tryst Stars and Stripes;Larbert, Central, Scotland;Bitter - Ordinary / Best;Tryst Brewery;Golden, clear, piney resin in aroma and taste. Some sweet lemon. Tangy and a touch sour.
Tryst Stars and Stripes;Larbert, Central, Scotland;Bitter - Ordinary / Best;Tryst Brewery;On cask @ GRAF 2016 clear golden beer with creamy white head aroma is citrus fruit and slightly floral flavour is grapefruit and lemon crisp dry with good level of bitterness
Tryst Stars and Stripes;Larbert, Central, Scotland;Bitter - Ordinary / Best;Tryst Brewery;Cask at holyrood 9a. Pours pale amber, nose is citrus, taste is a bit thin/watery, light fruity bitterness.
Tryst Stars and Stripes;Larbert, Central, Scotland;Bitter - Ordinary / Best;Tryst Brewery;9th July 2009 Draft. Very slightly hazy gold beer. Light palate, a little dry and crispy. Very nicely judged hops. Grassy grapefruit and orange. Refreshing with a mildly bitter grapefruit aftertaste.
Tryst Stars and Stripes;Larbert, Central, Scotland;Bitter - Ordinary / Best;Tryst Brewery;Cask @ 3 Judges. Dark orange colour, white head. Aroma is pine hops, citrus, bit of pencil dust. Flavour is pine hops, followed by dry biscuit. Fruity and juicy. Fairly dry finish. Good drinkable!
Tryst Stars and Stripes;Larbert, Central, Scotland;Bitter - Ordinary / Best;Tryst Brewery;Bottle from the Scottish Real Ale Shop. Acidic malty aroma. Golden brown colour, no head, lot of bits floating about in it. Tastes like malt vinegar and sour apples with bitter aftertaste. I wonder if this one was off?
Tryst Stars and Stripes;Larbert, Central, Scotland;Bitter - Ordinary / Best;Tryst Brewery;1. Cask Handpump at the GBBF Earl’s Court, London 08/08/2008 Very hoppy aroma. Golden coloured hoppy and fruity with a crisp and slightly bitter finish. 2. Cask Handpump at the Smithfield Hotel, Manchester 21/01/2009 Hop aroma. Small white head. Golden coloured and hoppy with grapefruit and citrus flavours. Crisp and creamy on the palate with a little dryness in a bitter malt finish.
Tryst Stars and Stripes;Larbert, Central, Scotland;Bitter - Ordinary / Best;Tryst Brewery;Cask at the Guilford, Edinburgh, 20-03-09 on Craig’s crawl of Edinburgh’s finest establishments. Pours light amber with a white head. Taste is stringy hops at first then I realise that in actual fact the hops really dominate. Soft maltiness and a dry bitterness, really tasty beer in a very popular pub. A7 A5 F7 P4 OV15 3.8
Tryst Stars and Stripes;Larbert, Central, Scotland;Bitter - Ordinary / Best;Tryst Brewery;Cask at Smithfield Hotel, Manchester. A pale golden beer with a thin beige head. The aroma is sweet with notes of malt and caramel. The flavor is sweet and very hoppy to start off with - lending it notes of grass and elderflowers, then comes notes of malt and caramel. The mouthfeel is nicely smooth.
Tryst Stars and Stripes;Larbert, Central, Scotland;Bitter - Ordinary / Best;Tryst Brewery;Bottle @ Dave’s. Hazy gold with a white head. Cheesy, floral hop, some fruit and yeast in the nose. Taste is much the same with slight bitterness and the same cheesy note in the finish. Wow, how am I the only one to rate this from a bottle? Even the foreigners have had cask, lol...Funny thing is I prolly do have a cask rate in one of my notebooks :p
Warcop Drillers;Newport, Gwent, Wales;Bitter - Ordinary / Best;Warcop;Cask Handpump at the Gardener’s Rest, Sheffield 22/12/2002 Amber coloured with an acidic taste and a hint of dryness in the finish.
Warcop Drillers;Newport, Gwent, Wales;Bitter - Ordinary / Best;Warcop;Bottle. Nice golden appearance and as usual with this brewery poured very flat. Slight vinegar background-perhaps not as well bottled as it should have been.
Warcop Drillers;Newport, Gwent, Wales;Bitter - Ordinary / Best;Warcop;an Orange coloured ale, orangey nose, light fruity ale with a bitter finish to it.
Warcop Refuge;Newport, Gwent, Wales;Bitter - Ordinary / Best;Warcop;Bottle. More body than some of their beers. Poured with a medium head and had a bitter mouth feel that lingered for some time.As all their beers it was lacking in carbonation that made it easy to drink.A nice bottle conditioned ale which is probably very hard to find.
Warcop Refuge;Newport, Gwent, Wales;Bitter - Ordinary / Best;Warcop;A red coloured ale with a strong hoppy arroma, and a fairly plain fruit malt flavour.
Warcop Forgers;Newport, Gwent, Wales;Bitter - Premium / Strong / ESB;Warcop;Bottle from Alexandra Wines in Coventry Golden and poured with a medium head. No carbonation and no lacing which is normal for this brewery. No real body either,just a trace of citrus
Warcop Forgers;Newport, Gwent, Wales;Bitter - Premium / Strong / ESB;Warcop;And amber coloured brew, with an orangy nose,, a flat start to flavour building to a light medicinal malt.
Cairngorm Mountain Dew;Aviemore, Scotland;Blonde Ale / Golden Ale;Cairngorm Brewery Co.;Peachy, lemon great bitterness in the finish, hop resin at times, super drinkable, probably the best iv had from cairngorm by far.
Brugge Brasserie Kellerbier;Indianapolis, Indiana, United States;Zwickelbier/Kellerbier/Landbier;Brugge Brasserie;"Date: 04/29/2007 Mode: Draft Source: Brewpub cloudy yellow, dense creamy bright white head, thick lace, sweet malt aroma with lots of spicy character, creamy body, rich malt flavor, lots of spicy character, lots of sweetness Aroma: 7/10; Appearance: 8/10; Flavor: 7/10; Palate: 7/10; Overall: 15/20 Rating: 3.7/5.0 Drinkability: 8/10 Score: ***/4"
Brugge Brasserie Kellerbier;Indianapolis, Indiana, United States;Zwickelbier/Kellerbier/Landbier;Brugge Brasserie;Pint at BB - Aroma of sweet pale malts with some yeastiness and a touch of lemon. Pours cloudy yellow with cascading bubbles, a medium head and decent lacing. Flavor matches aroma. Palate is clean and refreshing. Easy drinking, smooth and tast, just nothing special.
Brugge Brasserie Kellerbier;Indianapolis, Indiana, United States;Zwickelbier/Kellerbier/Landbier;Brugge Brasserie;On draft @ Brugge. Pours hazy gold with fluffy bright white head. The light aroma is sweet with sugary malts, sweet ripe bananas and a slight tart citrus note. Wow. The flavor is nice. Great hot weather brew. Starts off sweet from malts and sugar (possibly) as well as a very light mix of spices. Near midway the yeasty banana note comes to the surface to marry up with the other flavors including a vaguely citrus tartness.
Brugge Brasserie Kellerbier;Indianapolis, Indiana, United States;Zwickelbier/Kellerbier/Landbier;Brugge Brasserie;Moderately hazy, beautiful rich yellow. Nice head, dies quickly. A bit of a corn nose, otherwise hay. Too sweet, really sugary sweet, grainy, DMS. Wanted this to be a good accompaniment to the mussels but wasn’t dry enough. I was very excited about it too.
Sheppy's Oakwood Supreme Cider (Bottle);Taunton, Somerset, England;Apple Cider;Sheppy's Cider;On tap at Cider Tap with Sarah. Pours a clear pale gold with a white head that dissipates quickly to the edges. Aroma has sweet apples with a hint of wood and leaves. Flavor has a nice sweet apple note that is matched by a bit of a woody note.
Sheppy's Oakwood Supreme Cider (Bottle);Taunton, Somerset, England;Apple Cider;Sheppy's Cider;Bottle. Pale golden colour with some white bubbles. Aroma is apple, yeast. Flavour is sweet, apple, yeast, sourness, alcohol. Medium body. OK cider.
Sheppy's Oakwood Supreme Cider (Bottle);Taunton, Somerset, England;Apple Cider;Sheppy's Cider;Cask@Cider Tap, London. Pale yellowish golden colour with a minor head, that vanishes quickly. Aroma is fruity apples, some herbs, yeast and mild vanilla. Flavour is sweet juicy apples with some yeast, herbs and mild vanilla.
Sheppy's Oakwood Supreme Cider (Bottle);Taunton, Somerset, England;Apple Cider;Sheppy's Cider;Bottle at DBF2012. Clear yellow with a white head. Aroma heavy of apples. Flavor sweet of apples, notes of vanilla. Medium body. Refrehing.
Sheppy's Oakwood Supreme Cider (Bottle);Taunton, Somerset, England;Apple Cider;Sheppy's Cider;DØE. Clear golden without head. Aroma is sweet apples and acidic apples. Flavor is medium sweet. Dry finish. 100512
Sheppy's Oakwood Supreme Cider (Bottle);Taunton, Somerset, England;Apple Cider;Sheppy's Cider;Bottle. Pours straw yellow with a small white head. Aroma of apples, caramel and fruitiness. Flavor is sweet apples with a dry fruity finish. Medium body, average carbonation.
Sheppy's Oakwood Supreme Cider (Bottle);Taunton, Somerset, England;Apple Cider;Sheppy's Cider;Bottle 500ml @ gunnfryd Pours clear golden with a small white head. Aroma has notes of sweet apples, oak and vanilla. Taste is medium sweet and light sour. Body is medium, texture is oily, carbonation is soft.
Sheppy's Oakwood Supreme Cider (Bottle);Taunton, Somerset, England;Apple Cider;Sheppy's Cider;Bottle. A clear, pale golden cider with some white bubbles on top. Sweetish apple aroma with some hints of apple cores. It’s drier in the mouth than expected from the aroma, it’s not very tart, with a touch of apple cores and cold autumn grass. A nice cider indeed, but I think it’s a bit on the sweet side. Could easily drink more of it though, maybe with pork chops and sauerkraut. 120405
Sheppy's Oakwood Supreme Cider (Bottle);Taunton, Somerset, England;Apple Cider;Sheppy's Cider;Bottle. Dark clear yellow cider. Powerfull nice applearoma with some barnyard notes. Moderate nice apple flavor. Light sweet and dry. Not acetic. Average nice finish. Oily palate. Nice cider.
Sheppy's Oakwood Supreme Cider (Bottle);Taunton, Somerset, England;Apple Cider;Sheppy's Cider;Pours golden with a white head. Aroma is red apples and light sulfur. Flavour is red apples, sulfur and quite dry.
Fountain City Irish Valley Spring Bock;Fountain City, Wisconsin, United States;Bock- Heller Bock / Maibock;Fountain City Brewing Company;On tap only at the Monarch Tavern in Fountain City, Wisconsin. Straight from the tap, this brew pours a hazy dark amber brew with a white head. Dissolves quickly and leaves behind a nice lacing. Aroma contains some grassy scents, citrus, vanilla, grape brandy, caramel and a touch of semi-sweet apples. Taste is tangy caramel with citrus after taste.
Fountain City Irish Valley Spring Bock;Fountain City, Wisconsin, United States;Bock- Heller Bock / Maibock;Fountain City Brewing Company;Lot of carmel on the nose of this brown beer. Body has a similar caramel taste with a roasted character. One of the best brews on tap at the Monarch.
Fountain City Prairie Moon Red Ale;Fountain City, Wisconsin, United States;Red Ale / Intl Amber Ale;Fountain City Brewing Company;On tap only at the Monarch Tavern in Fountain City, Wisconsin. Straight from the tap, this brew pours a dark caramel with an ivory head that stays around for a few minutes. Aroma of citrus and ripe apples. Taste of malt barley, a touch of rye and apples. Smooth yet a dry finish.
Fountain City Prairie Moon Red Ale;Fountain City, Wisconsin, United States;Red Ale / Intl Amber Ale;Fountain City Brewing Company;On tap at the Monarch Pub. Nice fesh smell with good lacing on this ruby red beer. Carmel body with a crisp finish.
Fountain City Harrington Irish Ale;Fountain City, Wisconsin, United States;Red Ale - Irish;Fountain City Brewing Company;Pours a clear deep amber with thin white head. Aroma is pleasantly Malthus and sweet. Flavor is nice and balanced.
